physical_lines	disposition	exclusion_category	path
61	included	-	tokio/tests/io_util_empty.rs
60	included	-	examples/named-pipe.rs
60	included	-	tokio/src/io/uring/rename.rs
60	included	-	tokio/src/task/yield_now.rs
60	included	-	tokio/tests/io_driver_drop.rs
59	included	-	tokio/src/io/uring/open.rs
59	included	-	tokio/src/io/util/fill_buf.rs
59	included	-	tokio/src/loom/std/atomic_usize.rs
58	included	-	stress-test/examples/simple_echo_tcp.rs
58	included	-	tokio-stream/src/empty.rs
58	included	-	tokio-stream/src/stream_ext/all.rs
58	included	-	tokio-stream/src/stream_ext/any.rs
58	included	-	tokio-stream/src/stream_ext/peekable.rs
58	included	-	tokio/tests/io_write.rs
57	included	-	tokio-stream/src/stream_ext/fold.rs
57	included	-	tokio-stream/tests/watch.rs
57	included	-	tokio/src/io/seek.rs
57	included	-	tokio/src/loom/std/atomic_u64_static_once_cell.rs
57	included	-	tokio/src/util/rc_cell.rs
57	included	-	tokio/tests/uds_cred.rs
56	included	-	benches/sync_mpsc_oneshot.rs
56	included	-	examples/custom-executor.rs
56	included	-	tokio-stream/src/stream_ext/timeout_repeating.rs
56	included	-	tokio-stream/tests/stream_panic.rs
56	included	-	tokio/src/runtime/context/scoped.rs
55	included	-	tokio/src/io/uring/write.rs
55	included	-	tokio/src/io/util/read.rs
55	included	-	tokio/src/io/util/write_all.rs
55	included	-	tokio/src/runtime/scheduler/inject/pop.rs
55	included	-	tokio/src/runtime/scheduler/multi_thread/handle/metrics.rs
55	included	-	tokio/tests/signal_multi_rt.rs
55	included	-	tokio/tests/support/io_uring.rs
54	included	-	tokio-stream/src/pending.rs
54	included	-	tokio/src/fs/create_dir_all.rs
54	included	-	tokio/src/runtime/tests/inject.rs
52	included	-	tokio-stream/tests/stream_iter.rs
52	included	-	tokio/tests/net_lookup_host.rs
52	included	-	tokio/tests/tcp_echo.rs
52	included	-	tokio/tests/tcp_into_std.rs
51	included	-	tokio-util/src/time/mod.rs
51	included	-	tokio/src/runtime/time_alt/registration_queue/tests.rs
51	included	-	tokio/src/util/atomic_cell.rs
51	included	-	tokio/tests/buffered.rs
51	included	-	tokio/tests/fs_open_options_windows.rs
